"","state","year","poblation"
"1","Alabama","2015",4854803
"2","Alaska","2015",738430
"3","Arizona","2015",6832810
"4","Arkansas","2015",2979732
"5","California","2015",38904296
"6","Colorado","2015",5454328
"7","Connecticut","2015",3588561
"8","Delaware","2015",942065
"9","District of Columbia","2015",677014
"10","Florida","2015",20219111
"11","Georgia","2015",10183353
"12","Hawaii","2015",1422999
"13","Idaho","2015",1652495
"14","Illinois","2015",12859585
"15","Indiana","2015",6611442
"16","Iowa","2015",3122541
"17","Kansas","2015",2910717
"18","Kentucky","2015",4429126
"19","Louisiana","2015",4666998
"20","Maine","2015",1329098
"21","Maryland","2015",5988528
"22","Massachusetts","2015",6797484
"23","Michigan","2015",9934483
"24","Minnesota","2015",5484002
"25","Mississippi","2015",2990231
"26","Missouri","2015",6075411
"27","Montana","2015",1031495
"28","Nebraska","2015",1892059
"29","Nevada","2015",2868531
"30","New Hampshire","2015",1337480
"31","New Jersey","2015",8870312
"32","New Mexico","2015",2090071
"33","New York","2015",19657321
"34","North Carolina","2015",10037218
"35","North Dakota","2015",755537
"36","Ohio","2015",11622315
"37","Oklahoma","2015",3910518
"38","Oregon","2015",4018542
"39","Pennsylvania","2015",12789838
"40","Rhode Island","2015",1056886
"41","South Carolina","2015",4896006
"42","South Dakota","2015",854663
"43","Tennessee","2015",6595354
"44","Texas","2015",27468531
"45","Utah","2015",2983626
"46","Vermont","2015",625810
"47","Virginia","2015",8367303
"48","Washington","2015",7167287
"49","West Virginia","2015",1843332
"50","Wisconsin","2015",5762927
"51","Wyoming","2015",586389
"52","Puerto Rico","2015",3473232
"53","Alabama","2016",4866824
"54","Alaska","2016",742575
"55","Arizona","2016",6944767
"56","Arkansas","2016",2991815
"57","California","2016",39149186
"58","Colorado","2016",5543844
"59","Connecticut","2016",3579830
"60","Delaware","2016",949989
"61","District of Columbia","2016",687576
"62","Florida","2016",20627237
"63","Georgia","2016",10308442
"64","Hawaii","2016",1428885
"65","Idaho","2016",1684036
"66","Illinois","2016",12821709
"67","Indiana","2016",6637898
"68","Iowa","2016",3133210
"69","Kansas","2016",2912977
"70","Kentucky","2016",4440306
"71","Louisiana","2016",4681346
"72","Maine","2016",1332348
"73","Maryland","2016",6007014
"74","Massachusetts","2016",6827280
"75","Michigan","2016",9954117
"76","Minnesota","2016",5525360
"77","Mississippi","2016",2990595
"78","Missouri","2016",6091384
"79","Montana","2016",1042137
"80","Nebraska","2016",1906483
"81","Nevada","2016",2919555
"82","New Hampshire","2016",1343694
"83","New Jersey","2016",8873584
"84","New Mexico","2016",2092555
"85","New York","2016",19636391
"86","North Carolina","2016",10161802
"87","North Dakota","2016",756114
"88","Ohio","2016",11640060
"89","Oklahoma","2016",3928143
"90","Oregon","2016",4093271
"91","Pennsylvania","2016",12788468
"92","Rhode Island","2016",1057816
"93","South Carolina","2016",4963031
"94","South Dakota","2016",863693
"95","Tennessee","2016",6651277
"96","Texas","2016",27914064
"97","Utah","2016",3044241
"98","Vermont","2016",624366
"99","Virginia","2016",8417651
"100","Washington","2016",7299961
"101","West Virginia","2016",1832435
"102","Wisconsin","2016",5775170
"103","Wyoming","2016",585243
"104","Puerto Rico","2016",3406672
"105","Alabama","2017",4877989
"106","Alaska","2017",740983
"107","Arizona","2017",7048088
"108","Arkansas","2017",3003855
"109","California","2017",39337785
"110","Colorado","2017",5617421
"111","Connecticut","2017",3575324
"112","Delaware","2017",957942
"113","District of Columbia","2017",697079
"114","Florida","2017",20977089
"115","Georgia","2017",10417031
"116","Hawaii","2017",1425763
"117","Idaho","2017",1719745
"118","Illinois","2017",12779893
"119","Indiana","2017",6662068
"120","Iowa","2017",3143734
"121","Kansas","2017",2910892
"122","Kentucky","2017",4455590
"123","Louisiana","2017",4673673
"124","Maine","2017",1335743
"125","Maryland","2017",6028186
"126","Massachusetts","2017",6863560
"127","Michigan","2017",9976752
"128","Minnesota","2017",5569283
"129","Mississippi","2017",2990674
